,jd,mag,mag_unc,filter,limmag,programid
0,44244.17342518064,99.0,99.0,g,21.083217649522812,0.0
1,44245.17342518064,20.21183867168855,0.24485190418865163,g,25.0,0.0
2,44245.210936680705,18.90003089259465,0.1417147507819809,r,25.0,0.0
3,44245.37199784838,19.973090348804188,0.03821930351694311,g,25.0,0.0
4,44245.419023348244,18.723111559569254,0.07174711543541243,r,25.0,0.0
5,44247.33862192684,99.0,99.0,r,17.022668305630955,0.0
6,44247.43070425161,17.93377748682118,0.049341095237860226,i,25.3,0.0
7,44249.34550891565,17.925074673337445,0.024638459759587717,r,25.0,0.0
8,44253.3517901555,17.448075968440445,0.011484657653487933,r,25.0,0.0
9,44253.41578315546,18.378578969021916,0.10333455320156483,g,25.0,0.0
10,44257.34492930213,16.87149649374657,0.019257191635468116,r,25.0,0.0
11,44257.38580890235,18.110522854115118,0.049805790725116525,g,25.0,0.0
12,44259.3571144702,16.902755617878732,0.02615363738841519,r,25.0,0.0
13,44259.49380427004,17.68219633237147,0.026186068763577493,g,25.0,0.0
14,44261.30823585768,16.66713009508105,0.00648836789334397,r,25.0,0.0
15,44261.35108305751,17.707623699015805,0.032234180449359946,g,25.0,0.0
16,44263.256100033876,17.54879088298362,0.052413319320412176,g,25.0,0.0
17,44263.31427133363,16.63544032735057,0.005558787998642815,r,25.0,0.0
