2457843.632354,15.714,0.004
2457843.637655,15.742,0.004
2457843.641381,15.767,0.004
2457843.645236,15.79,0.004
2457843.648847,15.806,0.004
2457843.652446,15.796,0.004
2457843.658557,15.764,0.004
2457843.663499,15.669,0.004
2457843.671208,15.626,0.004
2457843.674958,15.58,0.004
2457843.678812,15.705,0.01
2457846.788887,15.667,0.004
2457846.793864,15.609,0.004
2457846.798494,15.547,0.004
2457846.804674,15.601,0.004
2457846.808552,15.605,0.004
2457846.812174,15.62,0.004
2457846.815797,15.654,0.004
2457846.819397,15.7,0.004
2457846.824038,15.75,0.004
2457846.827649,15.775,0.004
2457846.831272,15.807,0.004
2457846.834883,15.81,0.004
2457846.8424068,15.768,0.004
2457846.847197,15.701,0.004
2457846.851075,15.645,0.004
2457846.85891,15.568,0.004
2457846.86266,15.555,0.004
2457846.866526,15.563,0.004
2457846.932892,15.596,0.004
2457846.937429,15.629,0.004
2457846.941978,15.64,0.004
2457849.654483,15.77,0.009
2457849.659043,15.738,0.008
2457849.663835,15.692,0.008
2457849.667677,15.662,0.008
2457849.67564,15.572,0.007
2457849.67924,15.58,0.007
2457849.682851,15.582,0.007
2457849.687353,15.621,0.007
2457849.690953,15.67,0.008
2457849.694564,15.704,0.008
2457849.698163,15.739,0.008
2457849.705038,15.815,0.008
2457849.709483,15.78,0.008
2457849.713221,15.793,0.008
2457849.717064,15.737,0.008
2457849.720675,15.698,0.008
2457849.724275,15.634,0.007
2457849.746705,15.469,0.029
2457849.750548,15.537,0.035
2457849.754159,15.581,0.033
2457849.75777,15.723,0.01
2457849.764645,15.769,0.008
2457849.774089,15.836,0.014
2457849.777955,15.801,0.01
2457861.632229,15.734,0.005
2457861.638734,15.66,0.005
2457861.646419,15.824,0.005
2457861.65003,15.784,0.005
2457861.653641,15.796,0.005
2457861.65724,15.756,0.005
2457861.660852,15.606,0.005
2457861.66878,15.599,0.005
2457861.672379,15.607,0.005
2457861.67599,15.61,0.005
2457861.67959,15.586,0.005
2457861.695134,15.797,0.005
2457861.698745,15.84,0.005
2457861.702345,15.837,0.005
2457861.705956,15.826,0.005
2457861.715504,15.672,0.005
2457861.719115,15.574,0.005
2457861.722715,15.597,0.005
2457861.726326,15.586,0.005
2457861.734405,15.573,0.005
2457861.738016,15.615,0.005
2457861.741627,15.616,0.005
2457861.745238,15.583,0.005
2457861.748838,15.663,0.005
2457861.753317,15.694,0.005
2457861.761384,15.684,0.005
2457861.764995,15.698,0.005
2457861.768606,15.725,0.005
2457861.772206,15.714,0.005
2457861.777009,15.695,0.005
2457861.780736,15.666,0.005
2457861.788768,15.564,0.005
2457861.792379,15.559,0.005
2457861.797518,15.552,0.005
2457861.804555,15.599,0.005
2457861.81062098,15.57,0.005
2457861.817403,15.733,0.005
2457861.822646,15.77,0.005
2457861.8265,15.788,0.005
2457861.830099,15.783,0.005
2457861.837032,15.695,0.005
2457861.840771,15.676,0.005
2457861.845435,15.556,0.005
2457861.849173,15.536,0.005
2457861.852784,15.508,0.005
2457861.856396,15.504,0.005
2457861.863213,15.511,0.005
2457861.868051,15.546,0.005
2457861.871905,15.589,0.005
2457861.875516,15.594,0.005
2457861.882669,15.636,0.005
2457861.886419,15.673,0.005
