2458217.01066 18.532 0.038
2458218.01099 18.418 0.035
2458218.99470 18.418 0.035
2458219.01101 18.465 0.036
2458229.95552 18.422 0.036
2458230.95444 18.454 0.036
2458244.97443 18.456 0.036
2458244.99239 18.511 0.037
2458244.99284 18.479 0.037
2458247.95196 18.416 0.035
2458266.89447 18.446 0.036
2458268.94360 18.447 0.036
2458269.90182 18.356 0.034
2458270.87985 18.466 0.036
2458270.91627 18.448 0.040
2458270.91672 18.457 0.041
2458271.92235 18.421 0.035
2458271.92470 18.454 0.041
2458271.92516 18.465 0.041
2458284.84513 18.461 0.036
2458291.82205 18.411 0.035
2458296.83576 18.458 0.036
2458297.91471 18.496 0.037
2458298.93105 18.480 0.037
2458298.93475 18.556 0.043
2458298.93854 18.536 0.043
2458300.84075 18.403 0.035
2458303.87267 18.445 0.036
2458304.82143 18.481 0.037
2458305.88173 18.488 0.037
2458307.88453 18.426 0.036
2458311.88499 18.438 0.036
2458312.91820 18.459 0.036
2458316.84295 18.450 0.036
2458317.90759 18.411 0.035
2458321.75394 18.463 0.041
2458323.77087 18.375 0.035
2458324.73778 18.422 0.036
2458325.77833 18.486 0.037
2458326.85497 18.454 0.036
2458327.85126 18.435 0.036
2458328.84709 18.463 0.036
2458328.88615 18.340 0.038
2458328.88661 18.477 0.041
2458329.84371 18.477 0.037
2458330.87646 18.391 0.035
2458331.72968 18.447 0.036
2458332.82273 18.409 0.035
2458332.87059 18.421 0.040
2458332.87104 18.433 0.040
2458333.82389 18.480 0.037
2458334.84883 18.394 0.035
2458336.87010 18.463 0.041
2458336.87055 18.488 0.041
2458337.83322 18.403 0.035
2458340.80794 18.473 0.036
2458341.82522 18.439 0.036
2458342.83116 18.391 0.035
2458344.80824 18.477 0.037
2458345.69371 18.383 0.035
2458345.69465 18.435 0.036
2458345.69652 18.457 0.036
2458345.69745 18.472 0.036
2458345.69838 18.398 0.035
2458345.69932 18.444 0.036
2458345.70025 18.415 0.035
2458345.70118 18.437 0.036
2458345.70212 18.452 0.036
2458345.70305 18.450 0.036
2458345.70399 18.486 0.037
2458345.70492 18.422 0.036
2458345.70586 18.465 0.036
2458345.70679 18.424 0.036
2458345.70772 18.445 0.036
2458345.70866 18.500 0.037
2458345.70959 18.464 0.036
2458345.71052 18.444 0.036
2458345.71146 18.470 0.036
2458345.71239 18.483 0.037
2458345.71332 18.466 0.036
2458345.71426 18.407 0.035
2458345.71520 18.397 0.035
2458345.71613 18.431 0.036
2458345.71707 18.448 0.036
2458345.71800 18.517 0.037
2458345.71893 18.432 0.036
2458345.71987 18.464 0.036
2458345.72080 18.428 0.036
2458345.72173 18.485 0.037
2458345.72267 18.447 0.036
2458345.72360 18.453 0.036
2458345.72454 18.446 0.036
2458345.72547 18.472 0.036
2458345.72641 18.463 0.036
2458345.72734 18.420 0.035
2458345.72827 18.449 0.036
2458345.72921 18.477 0.037
2458345.73014 18.401 0.035
2458345.73108 18.425 0.036
2458345.73201 18.431 0.036
2458345.73295 18.497 0.037
2458345.73392 18.429 0.036
2458345.73493 18.454 0.036
2458345.73602 18.444 0.036
2458345.73706 18.412 0.035
2458345.73823 18.448 0.036
2458345.73950 18.465 0.036
2458345.74079 18.479 0.037
2458345.74357 18.495 0.037
2458345.74504 18.430 0.036
2458345.75104 18.470 0.036
2458345.75374 18.431 0.036
2458345.75635 18.480 0.037
2458345.75754 18.473 0.036
2458345.75857 18.461 0.036
2458345.75963 18.452 0.036
2458345.76062 18.475 0.036
2458345.76158 18.466 0.036
2458345.76252 18.423 0.036
2458345.76346 18.437 0.036
2458345.76438 18.461 0.036
2458345.76532 18.492 0.037
2458345.76626 18.417 0.035
2458345.76720 18.438 0.036
2458345.76812 18.426 0.036
2458345.76906 18.423 0.036
2458345.77000 18.482 0.037
2458345.77094 18.429 0.036
2458345.77186 18.437 0.036
2458345.77280 18.431 0.036
2458345.77374 18.436 0.036
2458345.77467 18.480 0.037
2458345.77560 18.450 0.036
2458345.77654 18.439 0.036
2458345.77748 18.446 0.036
2458345.77840 18.471 0.036
2458345.77934 18.454 0.036
2458345.78028 18.390 0.035
2458345.78121 18.456 0.036
2458345.78214 18.442 0.036
2458345.78308 18.462 0.036
2458345.78401 18.485 0.037
2458345.78494 18.453 0.036
2458345.78588 18.466 0.036
2458345.78682 18.458 0.036
2458345.78775 18.454 0.036
2458345.78868 18.452 0.036
2458345.78962 18.442 0.036
2458345.79055 18.418 0.035
2458345.79148 18.487 0.037
2458345.79242 18.468 0.036
2458345.79335 18.483 0.037
2458345.79428 18.411 0.035
2458345.79522 18.441 0.036
2458345.79616 18.451 0.036
2458345.79709 18.452 0.036
2458345.79802 18.431 0.036
2458345.79896 18.475 0.036
